Date,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Payment,cogs,Rating
01-05-2019,750-67-8428,Toronto,Member,Female,Health and beauty,74.69,7,26.1415,Ewallet,522.83,9.1
03-08-2019,226-31-3081,Vancouver,Normal,Female,Electronic accessories,15.28,5,3.82,Cash,76.4,9.6
03-03-2019,631-41-3108,Toronto,Normal,Female,Home and lifestyle,46.33,7,16.2155,Credit card,324.31,7.4
1/27/2019,123-19-1176,Toronto,Member,Male,Health and beauty,58.22,8,23.288,Ewallet,465.76,8.4
02-08-2019,373-73-7910,Toronto,Normal,Male,Sports and travel,86.31,7,30.2085,Ewallet,604.17,5.3
3/25/2019,699-14-3026,Vancouver,Normal,Female,Electronic accessories,85.39,7,29.8865,Ewallet,597.73,4.1
2/25/2019,355-53-5943,Toronto,Member,Female,Electronic accessories,68.84,6,20.652,Ewallet,413.04,5.8
2/24/2019,315-22-5665,Vancouver,Normal,Female,Home and lifestyle,73.56,10,36.78,Ewallet,735.6,8
01-10-2019,665-32-9167,Toronto,Member,Female,Health and beauty,36.26,2,3.626,Credit card,72.52,7.2
2/20/2019,692-92-5582,Montreal,Member,Female,Food and beverages,54.84,3,8.226,Credit card,164.52,5.9
02-06-2019,351-62-0822,Montreal,Member,Female,Fashion accessories,14.48,4,2.896,Ewallet,57.92,4.5
03-09-2019,529-56-3974,Montreal,Member,Female,Electronic accessories,25.51,4,5.102,Cash,102.04,6.8
02-12-2019,365-64-0515,Toronto,Normal,Female,Electronic accessories,46.95,5,11.7375,Ewallet,234.75,7.1
02-07-2019,252-56-2699,Toronto,Normal,Female,Food and beverages,43.19,10,21.595,Ewallet,431.9,8.2
3/29/2019,829-34-3910,Toronto,Normal,Female,Health and beauty,71.38,10,35.69,Cash,713.8,5.7
1/15/2019,299-46-1805,Montreal,Member,Female,Sports and travel,93.72,6,28.116,Cash,562.32,4.5
03-11-2019,656-95-9349,Toronto,Member,Female,Health and beauty,68.93,7,24.1255,Credit card,482.51,4.6
01-01-2019,765-26-6951,Toronto,Normal,Male,Sports and travel,72.61,6,21.783,Credit card,435.66,6.9
1/21/2019,329-62-1586,Toronto,Normal,Male,Food and beverages,54.67,3,8.2005,Credit card,164.01,8.6
03-11-2019,319-50-3348,Montreal,Normal,Female,Home and lifestyle,40.3,2,4.03,Ewallet,80.6,4.4
2/25/2019,300-71-4605,Vancouver,Member,Male,Electronic accessories,86.04,5,21.51,Ewallet,430.2,4.8
03-05-2019,371-85-5789,Montreal,Normal,Male,Health and beauty,87.98,3,13.197,Ewallet,263.94,5.1
3/15/2019,273-16-6619,Montreal,Normal,Male,Home and lifestyle,33.2,2,3.32,Credit card,66.4,4.4
2/17/2019,636-48-8204,Toronto,Normal,Female,Electronic accessories,34.56,5,8.64,Ewallet,172.8,9.9
03-02-2019,549-59-1358,Toronto,Member,Female,Sports and travel,88.63,3,13.2945,Ewallet,265.89,6
